Designator,Mid X,Mid Y,Rotation,Layer
D1,79.835,-56.93375,90.0,top
D10,98.885,-95.03375,90.0,top
D11,117.935,-95.03375,90.0,top
D12,136.985,-95.03375,90.0,top
D13,79.835,-114.08375,90.0,top
D14,98.885,-114.08375,90.0,top
D15,117.935,-114.08375,90.0,top
D16,136.985,-114.08375,90.0,top
D2,98.885,-56.93375,90.0,top
D3,117.935,-56.93375,90.0,top
D4,136.985,-56.93375,90.0,top
D5,79.835,-75.98375,90.0,top
D6,98.885,-75.98375,90.0,top
D7,117.935,-75.98375,90.0,top
D8,136.985,-75.98375,90.0,top
D9,79.835,-95.03375,90.0,top
J2,116.135,-31.88,0.0,top
SW1,89.36,-53.415,0.0,top
SW10,108.41,-91.515,0.0,top
SW11,127.46,-91.515,0.0,top
SW12,146.51,-91.515,0.0,top
SW13,89.36,-110.565,0.0,top
SW14,108.41,-110.565,0.0,top
SW15,127.46,-110.565,0.0,top
SW16,146.51,-110.565,0.0,top
SW2,108.41,-53.415,0.0,top
SW3,127.46,-53.415,0.0,top
SW4,146.51,-53.415,0.0,top
SW5,89.36,-72.465,0.0,top
SW6,108.41,-72.465,0.0,top
SW7,127.46,-72.465,0.0,top
SW8,146.51,-72.465,0.0,top
SW9,89.36,-91.515,0.0,top
U1,142.01,-34.34,0.0,top
